gene,halflife_rep1,halflife_rep2,halflife_rep3,avg_halflife,n_valid_reps
YLR465C,,1.2451311666721954,2.5838943335442215,1.9145127501082084,2
YLL065W,,,1.9247968905051762,1.9247968905051762,1
YBL111C,,2.1921273496333344,2.1499606429186264,2.1710439962759804,2
YEL076C-A,2.0769887940389307,1.8422227124724468,3.364453801429106,2.427888435980161,3
YIL061C,,2.821612299896178,2.0626895669010556,2.442150933398617,2
YDR543C,3.622797222432658,2.058898880685769,,2.840848051559213,2
YHR151C,,,3.0111432153386017,3.0111432153386017,1
YML083C,,,3.236786373588779,3.236786373588779,1
YHR054C,,2.634126288692312,4.231116796318104,3.432621542505208,2
YLL067C,5.732430399738172,,1.3037697727307374,3.5181000862344547,2
YER189W,5.013568207981959,,2.1336982407027465,3.5736332243423528,2
YNL223W,,,3.6357482612437875,3.6357482612437875,1
YPL108W,2.8381780721794416,2.538758629477584,7.378049499648645,4.25166206710189,3
YDR280W,,,4.522959816651547,4.522959816651547,1
YFL066C,3.2301396275537804,9.182898814138978,1.7628025517110062,4.725280331134589,3
YLR141W,,,5.08644415177242,5.08644415177242,1
YLR462W,5.737321064365183,1.9835175712694668,7.779316558332202,5.166718397988951,3
YLR463C,12.422891894464067,0.9901955258614124,2.2967210741086532,5.236602831478044,3
YLR464W,9.722254455562132,1.3020352603036243,4.736039378770529,5.2534430315454275,3
YHR219W,9.815395830686114,1.110006744151453,,5.462701287418784,2
YOR106W,,,5.547175351004122,5.547175351004122,1
YMR239C,,,5.606578758938246,5.606578758938246,1
YKR035C,4.70915337600751,6.104109695308935,6.26029366859476,5.691185579970401,3
YDR419W,3.616739154732726,,8.072752638100278,5.8447458964165016,2
YGL212W,,2.7033023502528946,9.195749423812785,5.94952588703284,2
YDR397C,,4.9867618442675266,7.942996658048894,6.4648792511582105,2
YPR143W,5.5921945989470006,2.6486518114151454,11.41335117880418,6.551399196388775,3
YKL225W,6.518938991747269,4.975971411095457,8.417678712524548,6.637529705122425,3
YBL113C,5.733475437153344,10.833765965657925,3.3827429652046126,6.649994789338628,3
YBR038W,,,6.778195625948087,6.778195625948087,1
YPL227C,,4.852362266128351,8.71563518028959,6.7839987232089705,2
YOL018C,,2.3372570230250846,11.291956943964085,6.814606983494585,2
YMR167W,,4.481139962752532,9.1761249999242,6.828632481338365,2
YBR257W,12.38377055103855,1.2750495107942694,,6.82941003091641,2
YEL076W-C,,,6.907323327368207,6.907323327368207,1
YJL194W,8.214942109905422,2.346063857688616,10.795945421987327,7.118983796527122,3
YER002W,,2.3811647287278714,11.993650731851455,7.187407730289663,2
YOL019W,,2.3232557551477258,12.11828113625107,7.220768445699398,2
YDR434W,,3.6165359325815145,10.919169194772948,7.2678525636772315,2
YDR375C,,5.237907451575566,9.528982122254178,7.383444786914872,2
YGR035C,9.881118646542662,5.602899392745408,6.77677909929246,7.420265712860176,3
YCR102C,,,7.4312129441212535,7.4312129441212535,1
YBR202W,,12.143674046514409,2.793077380202762,7.4683757133585855,2
YOR004W,,,7.53811085746711,7.53811085746711,1
YJR069C,,2.1797296422623713,13.076581455159921,7.628155548711146,2
YMR263W,6.137290766473594,3.01021655769617,13.786145334296217,7.644550886155327,3
YBR060C,,3.202055184382673,12.168038800727041,7.685046992554857,2
YML121W,,3.0097661948264562,12.422390024167678,7.716078109497067,2
YBR155W,,3.6732388770264626,11.828690795165398,7.75096483609593,2
YOL069W,,6.941485126987887,8.563810591082978,7.752647859035433,2
YGL213C,,3.6741401123208886,11.916116222808368,7.795128167564628,2
YBR193C,12.16237333447128,6.272372416929305,4.95355915592944,7.796101635776675,3
YLR382C,,,7.796529847585684,7.796529847585684,1
YIL177C,,9.30433688801383,6.366416349937153,7.835376618975491,2
YDL013W,,3.8826013881565125,11.79778511397658,7.840193251066546,2
YCR106W,,,7.932636272701571,7.932636272701571,1
YDL063C,,5.659232958836232,10.206724666353226,7.93297881259473,2
YBL068W,,2.1714510128411666,13.835013844436125,8.003232428638645,2
YMR035W,12.642581364295198,3.772913943616423,,8.20774765395581,2
YBR265W,5.154221969447224,10.366498942567864,9.315428426246163,8.278716446087083,3
YDR120C,11.163582823573297,2.7327470649457117,11.097867826980487,8.331399238499833,3
YOR213C,,3.7082082562015044,13.113335574456949,8.410771915329226,2
YLR401C,13.521435973559074,2.892203931934229,8.935259123970619,8.449633009821307,3
YPR141C,4.574467881453991,,12.400573139475073,8.487520510464531,2
YGR103W,9.533602571494848,6.0764825027254945,9.907700410147719,8.505928494789353,3
YOL125W,,,8.530396392745807,8.530396392745807,1
YLR440C,,11.262721162187974,5.84405005982131,8.553385611004643,2
YCL025C,10.001019910096954,8.86840209189505,6.968828007577858,8.612750003189953,3
YOR243C,13.083004356058831,4.364098175430914,8.420752341987553,8.6226182911591,3
YGR041W,16.959374964064487,2.260609910535172,6.750255889477026,8.656746921358895,3
YEL077C,,10.676033754365928,6.63876374598601,8.657398750175968,2
YOR037W,,8.210820642341622,9.167474283078384,8.689147462710004,2
YJL198W,7.501579240420014,10.682196210114952,7.893953483605626,8.692576311380199,3
YLR009W,15.041546181301179,1.778468744882726,9.2872921499216,8.702435692035168,3
YHR170W,15.739455300067075,1.539229938782033,8.890428913538935,8.723038050796013,3
YBR247C,6.670436783100681,9.051221659650068,10.458631596575053,8.726763346441933,3
YHR211W,,,8.740695747622109,8.740695747622109,1
YJL083W,,,8.74086136662554,8.74086136662554,1
YKL122C,,2.8914973298810267,14.64313423458539,8.767315782233208,2
YNL169C,,,8.77470024393019,8.77470024393019,1
YOL093W,,3.256657961663901,14.30878153806173,8.782719749862816,2
YIR008C,,,8.788707660854916,8.788707660854916,1
YOL147C,,3.1993604823810133,14.380576860955184,8.789968671668099,2
YFL064C,,9.2258277254797,8.369813068260834,8.797820396870268,2
YDR399W,,10.63052324673771,6.981717477000679,8.806120361869194,2
YHR187W,,5.741962364280454,11.904788838258334,8.823375601269394,2
YCR090C,,3.583448187654374,14.074269598170273,8.828858892912324,2
YOR088W,14.263019295622806,3.3171290870391914,8.962263120837843,8.847470501166613,3
YHR127W,11.512224592632672,1.8905818679377633,13.159381478800809,8.85406264645708,3
YDL182W,8.705850855587647,9.08208867394218,8.801886834923778,8.863275454817868,3
